Time,Category,Source,Headline,Sentiment_Score,Sentiment,Market_Impact,URL
2026-02-02 18:26,National (Pakistan),DAWN Business,Karachi Mayor Wahab orders KMC affairs probe after graft allegations surface,0.0,Neutral,Low,https://www.dawn.com/news/1969997/karachi-mayor-wahab-orders-kmc-affairs-probe-after-graft-allegations-surface
2026-02-02 18:26,National (Pakistan),DAWN Business,PM Shehbaz announces Rs4.4 cut in electricity rates for industries,-0.273,Bearish,Medium,https://www.dawn.com/news/1969891/pm-shehbaz-announces-rs44-cut-in-electricity-rates-for-industries
2026-02-02 18:26,National (Pakistan),DAWN Business,Weekly inflation rises 4.5pc,0.0,Neutral,Low,https://www.dawn.com/news/1970050/weekly-inflation-rises-45pc
2026-02-02 18:26,National (Pakistan),DAWN Business,Govt to hire experts to fast-track privatisation,0.0,Neutral,Low,https://www.dawn.com/news/1970051/govt-to-hire-experts-to-fast-track-privatisation
2026-02-02 18:26,National (Pakistan),DAWN Business,Trump nominates former US Fed official as next central bank chief,0.0,Neutral,Low,https://www.dawn.com/news/1969912/trump-nominates-former-us-fed-official-as-next-central-bank-chief
2026-02-02 18:26,National (Pakistan),DAWN Business,"KSE-100 closes in the green at 184,174.48 points on Friday",0.0,Neutral,Low,https://www.dawn.com/news/1969888/kse-100-closes-in-the-green-at-18417448-points-on-friday
2026-02-02 18:26,National (Pakistan),DAWN Business,Gold slumps 4pc as bets of a more hawkish Fed chair rise,0.0,Neutral,Low,https://www.dawn.com/news/1969892/gold-slumps-4pc-as-bets-of-a-more-hawkish-fed-chair-rise
2026-02-02 18:26,National (Pakistan),DAWN Business,"EU-India deal a wake-up call, say exporters",0.0,Neutral,Low,https://www.dawn.com/news/1969805/eu-india-deal-a-wake-up-call-say-exporters
2026-02-02 18:26,National (Pakistan),DAWN Business,Uplift AI announces $3.5m funding,0.0,Neutral,Low,https://www.dawn.com/news/1969895/uplift-ai-announces-35m-funding
2026-02-02 18:26,National (Pakistan),DAWN Business,Power bills to bite harder,0.0,Neutral,Low,https://www.dawn.com/news/1969804/power-bills-to-bite-harder
2026-02-02 18:26,National (Pakistan),DAWN Business,KP seeks Centre’s help amid loss of revenue due to border closure,0.103,Bullish,Low,https://www.dawn.com/news/1969801/kp-seeks-centres-help-amid-loss-of-revenue-due-to-border-closure
2026-02-02 18:26,National (Pakistan),DAWN Business,AD Ports to review cargo charges,-0.273,Bearish,Medium,https://www.dawn.com/news/1969828/ad-ports-to-review-cargo-charges
2026-02-02 18:26,National (Pakistan),DAWN Business,NA panel seeks PM’s intervention to resolve potato crop crisis,-0.361,Bearish,Medium,https://www.dawn.com/news/1969833/na-panel-seeks-pms-intervention-to-resolve-potato-crop-crisis
2026-02-02 18:26,National (Pakistan),Express Tribune,Public debt breaches limit by Rs17tr,-0.979,Bearish,High,https://tribune.com.pk/story/2590175/public-debt-breaches-limit-by-rs17tr
2026-02-02 18:26,National (Pakistan),Express Tribune,"Global inflation to fall to 3.8% this year, says IMF chief",0.917,Bullish,High,https://tribune.com.pk/story/2590368/global-inflation-to-fall-to-38-this-year-says-imf-chief
2026-02-02 18:26,National (Pakistan),Express Tribune,The IMF programme dilemma,0.914,Bullish,High,https://tribune.com.pk/story/2590331/the-imf-programme-dilemma
2026-02-02 18:26,National (Pakistan),Express Tribune,Islamabad's forests under assault,0.982,Bullish,High,https://tribune.com.pk/story/2590335/islamabads-forests-under-assault
2026-02-02 18:26,National (Pakistan),Express Tribune,The deadly cost of ignoring fire safety,-0.979,Bearish,High,https://tribune.com.pk/story/2590334/the-deadly-cost-of-ignoring-fire-safety
2026-02-02 18:26,National (Pakistan),Express Tribune,Gold falls $215 per ounce as prices slide for third straight session,-0.751,Bearish,High,https://tribune.com.pk/story/2590373/gold-falls-215-per-ounce-as-prices-slide-for-third-straight-session
2026-02-02 18:26,National (Pakistan),Express Tribune,Slump in commodities rattles global markets,0.0,Neutral,Low,https://tribune.com.pk/story/2590367/slump-in-commodities-rattles-global-markets
2026-02-02 18:26,National (Pakistan),Express Tribune,Pakistan's broken economic contract,-0.972,Bearish,High,https://tribune.com.pk/story/2590336/pakistans-broken-economic-contract
2026-02-02 18:26,National (Pakistan),Express Tribune,Warsh 'regime change' faces steep hurdles,0.0,Neutral,Low,https://tribune.com.pk/story/2590181/warsh-regime-change-faces-steep-hurdles
2026-02-02 18:26,National (Pakistan),Express Tribune,"Pakistan, Canada review BIT",0.0,Neutral,Low,https://tribune.com.pk/story/2590176/pakistan-canada-review-bit
2026-02-02 18:26,National (Pakistan),Express Tribune,HRL signs pact with Uzbekistan,0.0,Neutral,Low,https://tribune.com.pk/story/2590182/hrl-signs-pact-with-uzbekistan
2026-02-02 18:26,National (Pakistan),Express Tribune,The IMF programme dilemma,0.914,Bullish,High,https://tribune.com.pk/story/2590331/the-imf-programme-dilemma
2026-02-02 18:26,National (Pakistan),Express Tribune,The deadly cost of ignoring fire safety,-0.979,Bearish,High,https://tribune.com.pk/story/2590334/the-deadly-cost-of-ignoring-fire-safety
2026-02-02 18:26,National (Pakistan),Express Tribune,Islamabad's forests under assault,0.982,Bullish,High,https://tribune.com.pk/story/2590335/islamabads-forests-under-assault
2026-02-02 18:26,National (Pakistan),Express Tribune,"As EU and India move closer, where does Pakistan stand?",0.0,Neutral,Low,https://tribune.com.pk/story/2590332/as-eu-and-india-move-closer-where-does-pakistan-stand
2026-02-02 18:26,National (Pakistan),Express Tribune,Public debt breaches limit by Rs17tr,-0.979,Bearish,High,https://tribune.com.pk/story/2590175/public-debt-breaches-limit-by-rs17tr
2026-02-02 18:26,National (Pakistan),Express Tribune,"As EU and India move closer, where does Pakistan stand?",0.0,Neutral,Low,https://tribune.com.pk/story/2590332/as-eu-and-india-move-closer-where-does-pakistan-stand
2026-02-02 18:26,National (Pakistan),Express Tribune,"Pakistan, Canada review BIT",0.0,Neutral,Low,https://tribune.com.pk/story/2590176/pakistan-canada-review-bit
2026-02-02 18:26,National (Pakistan),Express Tribune,'Ocean awareness critical for sustainable development',0.953,Bullish,High,https://tribune.com.pk/story/2590177/ocean-awareness-critical-for-sustainable-development
2026-02-02 18:26,National (Pakistan),Express Tribune,"Boeing reaches labour deal with 1,600 workers",0.052,Neutral,Low,https://tribune.com.pk/story/2590179/boeing-reaches-labour-deal-with-1600-workers
2026-02-02 18:26,National (Pakistan),Express Tribune,HRL signs pact with Uzbekistan,0.0,Neutral,Low,https://tribune.com.pk/story/2590182/hrl-signs-pact-with-uzbekistan
2026-02-02 18:26,National (Pakistan),Express Tribune,Standing committee orders Sindh to clear dues,0.872,Bullish,High,https://tribune.com.pk/story/2589996/standing-committee-orders-sindh-to-clear-dues
2026-02-02 18:26,National (Pakistan),Express Tribune,"World Bank, PRA agree to digitalise tax system",0.982,Bullish,High,https://tribune.com.pk/story/2589993/world-bank-pra-agree-to-digitalise-tax-system
2026-02-02 18:26,National (Pakistan),Express Tribune,"Gold crashes by over Rs35,000 per tola",0.0,Neutral,Low,https://tribune.com.pk/story/2589998/gold-crashes-by-over-rs35000-per-tola
2026-02-02 18:26,National (Pakistan),Express Tribune,Fuel prices likely to rise from Feb 1 amid inflation pressures,0.905,Bullish,High,https://tribune.com.pk/story/2589667/fuel-prices-likely-to-rise-from-feb-1-amid-inflation-pressures
2026-02-02 18:26,National (Pakistan),The News,"Savannah Guthrie misses 'Today' show, addresses mom's disappearance",0.485,Bullish,Medium,https://www.thenews.com.pk/latest/1390747-savannah-guthrie-breaks-silence-over-moms-disappearance
2026-02-02 18:26,National (Pakistan),The News,Bianca Censori shocks fans with new snap with Kanye West,0.986,Bullish,High,https://www.thenews.com.pk/latest/1390741-fans-in-shock-to-see-bianca-censori-in-full-clothes-with-ye
2026-02-02 18:26,National (Pakistan),The News,Travis Kelce's big loss impacts Taylor Swift relationship?,0.958,Bullish,High,https://www.thenews.com.pk/latest/1390739-travis-kelces-losses-impacts-taylor-swift-relationship
2026-02-02 18:26,National (Pakistan),The News,"Best dressed celebs at Grammys 2026: Sabrina Carpenter, Katseye, more",0.992,Bullish,High,https://www.thenews.com.pk/latest/1390718-best-dressed-celebs-at-grammys-2026
2026-02-02 18:26,National (Pakistan),The News,Jack Thorne points out similarity in 'Adolescence' and 'Lord of the Flies' show,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390734-jack-thorne-points-out-similarity-in-adolescence-and-lord-of-the-flies-show
2026-02-02 18:26,National (Pakistan),The News,Trevor Noah in trouble after 2026 Grammy Awards Epstein remark?,0.077,Neutral,Low,https://www.thenews.com.pk/latest/1390730-trevor-noah-faces-flak-by-us-president-over-his-epstein-comment-at-grammys
2026-02-02 18:26,National (Pakistan),The News,"Brooklyn Beckham is making Victoria, David 'brace themselves as he's done 'playing along'",-0.704,Bearish,High,https://www.thenews.com.pk/latest/1390725-brooklyn-beckham-is-making-victoria-david-brace-themselves-as-hes-done-playing-along
2026-02-02 18:26,National (Pakistan),The News,Olivia Dean fights back tears after winning first Grammy Award,0.995,Bullish,High,https://www.thenews.com.pk/latest/1390715-olivia-dean-fights-back-tears-after-winning-first-grammy-award
2026-02-02 18:26,National (Pakistan),The News,Grammys 2026: Lady Gaga thanks fiancé Michael Polansky after big win,0.997,Bullish,High,https://www.thenews.com.pk/latest/1390708-grammys-2026-lady-gaga-thanks-fiance-michael-polansky-after-big-win
2026-02-02 18:26,National (Pakistan),The News,Who has the most Grammys in history? A look at the record holders,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390700-who-has-the-most-grammys-in-history-a-look-at-the-record-holders
2026-02-02 18:26,National (Pakistan),The News,2026 Grammy Awards: Billie Eilish takes home top prize,0.852,Bullish,High,https://www.thenews.com.pk/latest/1390697-2026-grammy-awards-billie-eilish-takes-home-top-prize
2026-02-02 18:26,National (Pakistan),The News,Jelly Roll explains why he did not comment on politics at Grammys 2026,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390696-jelly-roll-refuses-to-comment-on-politics-after-billie-eilish-makes-headlines
2026-02-02 18:26,National (Pakistan),The News,Bad Bunny blasts ICE in Grammy acceptance speech: 'We aren't aliens',-0.128,Bearish,Low,https://www.thenews.com.pk/latest/1390689-bad-bunny-blasts-ice-in-grammy-acceptance-speech-we-arent-aliens
2026-02-02 18:26,National (Pakistan),The News,2026 Grammy Awards: Here's the complete list of winners,0.681,Bullish,High,https://www.thenews.com.pk/latest/1390686-2026-grammy-awards-heres-the-complete-list-of-winners
2026-02-02 18:26,National (Pakistan),The News,Lauryn Hill leads star tribute celebrating Roberta Flack's legacy at the Grammys,0.949,Bullish,High,https://www.thenews.com.pk/latest/1390685-lauryn-hill-leads-star-tribute-celebrating-roberta-flacks-legacy-at-the-grammys
2026-02-02 18:26,National (Pakistan),The News,Trevor Noah mocks Donald Trump and Nicki Minaj at 2026 Grammys,-0.919,Bearish,High,https://www.thenews.com.pk/latest/1390682-trevor-noah-mocks-donald-trump-and-nicki-minaj-at-2026-grammys
2026-02-02 18:26,National (Pakistan),The News,Timothée Chalamet hints at wanting to marry Kylie Jenner?,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390678-timothe-chalamet-hints-at-wanting-to-marry-kylie-jenner
2026-02-02 18:26,National (Pakistan),The News,Kelsea Ballerini admits she's 'reining it in' after years of 'oversharing',0.98,Bullish,High,https://www.thenews.com.pk/latest/1390679-kelsea-ballerini-admits-shes-reining-it-in-after-years-of-oversharing
2026-02-02 18:26,National (Pakistan),The News,How Alex Warren's real life romance that shaped his biggest songs,0.75,Bullish,High,https://www.thenews.com.pk/latest/1390681-how-alex-warrens-real-life-romance-that-shaped-his-biggest-songs
2026-02-02 18:26,National (Pakistan),The News,Reba McEntire breaks silence on postponing marriage to fiance Rex Linn,-0.128,Bearish,Low,https://www.thenews.com.pk/latest/1390677-reba-mcentire-breaks-silence-on-postponing-marriage-to-fiance-rex-linn
2026-02-02 18:26,National (Pakistan),The News,Addison Rae gets brutally honest about what she wants fans to know,-0.178,Bearish,Low,https://www.thenews.com.pk/latest/1390676-addison-rae-gets-brutally-honest-about-what-she-wants-fans-to-know
2026-02-02 18:26,National (Pakistan),The News,Steven Spielberg achieves EGOT status with 2026 Grammys win,0.996,Bullish,High,https://www.thenews.com.pk/latest/1390675-steven-spielberg-achieves-egot-status-with-2026-grammys-win
2026-02-02 18:26,National (Pakistan),The News,Reba McEntire gets emotional ahead of Brandon Blackstock's Grammys tribute,0.153,Bullish,Low,https://www.thenews.com.pk/latest/1390674-reba-mcentire-gets-emotional-ahead-of-brandon-blackstocks-grammys-tribute
2026-02-02 18:26,National (Pakistan),The News,Cruz Beckham gives his family shourout in new music video,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390670-cruz-beckham-pays-tribute-to-family-in-new-music-video
2026-02-02 18:26,National (Pakistan),The News,Jenna Ortega pens heartfelt tribute for late costar Catherine O'Hara,0.822,Bullish,High,https://www.thenews.com.pk/latest/1390673-jenna-ortega-pens-heartfelt-tribute-for-late-catherine-ohara
2026-02-02 18:26,National (Pakistan),The News,Kim Kardashian sparks romance speculations with THIS mystery man: Source,0.979,Bullish,High,https://www.thenews.com.pk/latest/1390672-kim-kardashian-sparks-romance-speculations-with-this-mystery-man-source
2026-02-02 18:26,National (Pakistan),The News,Kylie Jenner and Travis Scott reunite for joint birthday celebration for Stormi and Aire,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390668-kylie-jenner-and-travis-scott-reunite-for-joint-birthday-celebration-for-stormi-and-aire
2026-02-02 18:26,National (Pakistan),The News,Charli xcx spills why she's dropped the idea of having kids,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390669-charli-xcx-spills-why-she-has-dropped-the-idea-of-having-kids
2026-02-02 18:26,National (Pakistan),The News,Kanye West's position under threat at the Grammys: Read why,0.981,Bullish,High,https://www.thenews.com.pk/latest/1390664-kendrick-lamar-ties-with-ye-for-second-place-at-the-grammy-awards
2026-02-02 18:26,National (Pakistan),The News,Melania Trump documentary has successful opening weekend at box office,0.801,Bullish,High,https://www.thenews.com.pk/latest/1390665-melania-trump-documentary-has-successful-opening-weekend-at-box-office
2026-02-02 18:26,National (Pakistan),The News,"Jelly Roll, Bunnie Xo's blissful marriage secret laid bare",0.988,Bullish,High,https://www.thenews.com.pk/latest/1390667-jelly-roll-bunnie-xos-blissful-marriage-secret-laid-bare
2026-02-02 18:26,National (Pakistan),The News,Timothee Chalamet breaks silence on marriage as Kylie Jenner romance heats up,0.981,Bullish,High,https://www.thenews.com.pk/latest/1390666-timothee-chalamet-breaks-silence-on-marriage
2026-02-02 18:26,National (Pakistan),The News,Ali Larter finally lifts the lid on 'toughest scenes' to shoot in 'Landman' season 2,-0.39,Bearish,Medium,https://www.thenews.com.pk/latest/1390662-ali-larter-finally-lifts-the-lid-on-toughest-scenes-to-shoot-in-landman-season-2
2026-02-02 18:26,National (Pakistan),The News,Adrien Brody reminisces about sharing screen with Beyoncé in 'Cadillac Records',0.992,Bullish,High,https://www.thenews.com.pk/latest/1390658-adrien-brody-reminisces-about-sharing-screen-with-beyonce-in-cadillac-records
2026-02-02 18:26,National (Pakistan),The News,Jason Segel breaks silence on working with his 'idol' Michael J. Fox in 'Shrinking',0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390652-jason-segel-breaks-silence-on-working-with-his-idol-michael-j-fox-in-shrinking
2026-02-02 18:26,National (Pakistan),The News,"Ben Affleck, Jennifer Lopez 'still make time to hang out' for THIS bombshell reason",0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390650-ben-affleck-jennifer-lopez-still-make-time-to-hang-out-for-this-bombshell-reason
2026-02-02 18:26,National (Pakistan),The News,Shabana Azeez opens up about 'The Pitt' season 2 major reveal,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390645-shabana-azeez-opens-up-about-the-pitt-season-2-major-reveal
2026-02-02 18:26,National (Pakistan),The News,'Bridgerton' star Adjoa Andoh weighs in on character's new aspirations,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390644-bridgerton-star-adjoa-andoh-weighs-in-on-characters-new-aspirations
2026-02-02 18:26,National (Pakistan),The News,Laura Dern heaps praise for close friend Sheryl Crow,0.746,Bullish,High,https://www.thenews.com.pk/latest/1390641-laura-dern-heaps-praise-for-close-friend-sheryl-crow
2026-02-02 18:26,National (Pakistan),The News,Paul Rudd recalls innocent move almost lost him movie role,0.101,Bullish,Low,https://www.thenews.com.pk/latest/1390636-paul-rudd-remembers-clueless-role-he-nearly-lost
2026-02-02 18:26,National (Pakistan),The News,"Here's why Hugh Jackman, Sutton Foster are house hunting in Australia",0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390638-heres-why-hugh-jackman-sutton-foster-are-house-hunting-in-australia
2026-02-02 18:26,National (Pakistan),The News,Gabrielle Union reflects on her friendship with 'Bring It On' co-star Kirsten Dunst,0.949,Bullish,High,https://www.thenews.com.pk/latest/1390635-gabrielle-union-reflects-on-her-friendship-with-bring-it-on-co-star-kirsten-dunst
2026-02-02 18:26,National (Pakistan),The News,Rose Byrne opens up about struggles after becoming a mother,-0.802,Bearish,High,https://www.thenews.com.pk/latest/1390634-rose-byrne-opens-up-about-struggles-after-becoming-a-mother
2026-02-02 18:26,National (Pakistan),The News,Tom Cruise feels 'unsafe' after robbery near home,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390621-tom-cruise-abandons-high-end-apartment-after-terrifying-robbery
2026-02-02 18:26,National (Pakistan),The News,Daveed Diggs reflects on main theme of latest gig 'In the Blink of an Eye',0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390630-daveed-diggs-reflects-on-main-theme-of-latest-gig-in-the-blink-of-an-eye
2026-02-02 18:26,National (Pakistan),The News,Kylie Kelce determined to 'lead by example' for THIS,0.99,Bullish,High,https://www.thenews.com.pk/latest/1390632-kylie-kelce-determined-to-lead-by-example-for-her-four-daughters
2026-02-02 18:26,National (Pakistan),The News,Al Roker opens up about leaving a legacy behind following his exit from 'Today',0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390629-al-roker-opens-up-about-leaving-a-legacy-behind-following-his-exit-from-today
2026-02-02 18:26,National (Pakistan),The News,Kate McKinnon gushes about Andrew Stanton directed movies,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390628-kate-mckinnon-gushes-about-andrew-stanton-directed-movies
2026-02-02 18:26,National (Pakistan),The News,"Hugh Jackman, Sutton Foster plan to start a family",0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390625-hugh-jackman-sutton-foster-plan-to-start-a-family
2026-02-02 18:26,National (Pakistan),The News,'SNL' alum Garrett Morris shares one major regret on his 89th birthday,0.691,Bullish,High,https://www.thenews.com.pk/latest/1390623-snl-alum-garrett-morris-shares-one-major-regret-on-his-89th-birthday
2026-02-02 18:26,International,MarketWatch,Oracle amps up its AI bet with a plan to raise as much as $50 billion this year,0.0,Neutral,Low,https://www.marketwatch.com/story/oracle-amps-up-its-ai-bet-with-a-plan-to-raise-as-much-as-50-billion-this-year-872a2dba?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,Walt Disney reports solid gains in revenue but sees decline in net profit due to higher costs,0.705,Bullish,High,https://www.marketwatch.com/story/walt-disney-misses-on-net-profit-despite-record-theme-park-revenue-eae1edb2?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,"Europe just started building a ‘kill switch’ for U.S. tech — and the market isn’t priced for it, says this strategist",0.0,Neutral,Low,https://www.marketwatch.com/story/europe-just-started-building-a-kill-switch-for-u-s-tech-and-the-market-isnt-priced-for-it-says-this-strategist-8dd51d4b?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,Nvidia’s OpenAI investment may not be as big as once hoped — and tech stocks are falling,0.25,Bullish,Medium,https://www.marketwatch.com/story/nvidias-openai-investment-may-not-be-as-big-as-once-hoped-adding-to-a-jittery-tech-trade-49bbb1b1?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,"The appointment of Kevin Warsh is a market stabilizing mechanism, claims Morgan Stanley",0.0,Neutral,Low,https://www.marketwatch.com/story/the-appointment-of-kevin-warsh-is-a-market-stabilizing-mechanism-claims-morgan-stanley-ad71b9d2?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,‘I’m rich in everything but parents’: I inherited $400K. Is it unwise to use this money to buy a house with my fiancé?,0.318,Bullish,Medium,https://www.marketwatch.com/story/im-rich-in-everything-but-parents-i-inherited-400k-is-it-unwise-to-use-this-money-to-buy-a-house-with-my-boyfriend-37837138?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,"Gold now down nearly $1,000 from peak as silver attempts to stabilize following record 31% slump",0.0,Neutral,Low,https://www.marketwatch.com/story/gold-now-down-nearly-1-000-from-peak-as-silver-struggles-following-record-31-slump-56067f2a?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,Michael Saylor’s Strategy sees bitcoin holdings trade below purchase price,0.0,Neutral,Low,https://www.marketwatch.com/story/michael-saylors-bitcoin-holdings-briefly-went-underwater-2d63d929?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,Oil prices are falling sharply. Lowered U.S.-Iran tensions and metals spillover is being blamed.,-0.784,Bearish,High,https://www.marketwatch.com/story/oil-prices-are-falling-sharply-lowered-u-s-iran-tensions-and-metals-spillover-is-being-blamed-79da244d?mod=mw_rss_topstories
2026-02-02 18:26,International,MarketWatch,"‘Hell of a story, isn’t it?’: My brother stole $500K from my ailing father. Can we get justice?",0.58,Bullish,High,https://www.marketwatch.com/story/hell-of-a-story-isnt-it-my-brother-stole-500k-from-my-ailing-father-can-we-get-justice-e2848289?mod=mw_rss_topstories
2026-02-02 18:26,International,Investing.com,"Trump still aims for Greenland control, its Prime Minister Nielsen warns",-0.103,Bearish,Low,https://www.investing.com/news/world-news/trump-still-aims-for-greenland-control-its-prime-minister-warns-4478797
2026-02-02 18:26,International,Investing.com,Form 144 UMB FINANCIAL CORP For: 2 February,0.0,Neutral,Low,https://www.investing.com/news/filings/form-144-umb-financial-corp-for-2-february-93CH-4478823
2026-02-02 18:26,International,Investing.com,VerifyMe stock rises after regaining Nasdaq compliance,0.0,Neutral,Low,https://www.investing.com/news/stock-market-news/verifyme-stock-rises-after-regaining-nasdaq-compliance-93CH-4478821
2026-02-02 18:26,International,Investing.com,Oil prices slump on U.S.-Iran talks; OPEC+ holds production,0.0,Neutral,Low,https://www.investing.com/news/commodities-news/oil-prices-slide-over-3-on-usiran-talks-opec-holds-production-4477758
2026-02-02 18:26,International,Investing.com,Teradyne stock price target raised to $270 from Cantor Fitzgerald on AI outlook,0.0,Neutral,Low,https://www.investing.com/news/analyst-ratings/teradyne-stock-price-target-raised-to-270-from-cantor-fitzgerald-on-ai-outlook-93CH-4478820
2026-02-02 18:26,International,Investing.com,Greenland PM warns U.S. still seeking to take control of island,-0.103,Bearish,Low,https://www.investing.com/news/world-news/greenland-pm-warns-us-still-seeking-to-take-control-of-island-93CH-4478819
2026-02-02 18:26,International,Investing.com,Oil falls 5% on US-Iran de-escalation,0.0,Neutral,Low,https://www.investing.com/news/commodities-news/oil-falls-by-over-1-per-barrel-as-iran-talks-in-focus-4477729
2026-02-02 18:26,International,Investing.com,Factbox-What is in France’s 2026 budget?,0.0,Neutral,Low,https://www.investing.com/news/economy-news/factboxwhat-is-in-frances-2026-budget-4478817
2026-02-02 18:26,International,Investing.com,Garrett unveils oil-free centrifugal compressors for HVAC systems,0.0,Neutral,Low,https://www.investing.com/news/company-news/garrett-unveils-oilfree-centrifugal-compressors-for-hvac-systems-93CH-4478816
2026-02-02 18:26,International,Investing.com,ctDNA blood test better predicts colon cancer recurrence than standard staging,-0.361,Bearish,Medium,https://www.investing.com/news/company-news/ctdna-blood-test-better-predicts-colon-cancer-recurrence-than-standard-staging-93CH-4478815
